SETTLEMENT_DATE,NATURAL_GAS_PRICE
2022-10-12,61.326
2022-10-13,57.245999999999995
2022-10-14,42.876999999999995
2022-10-15,37.134
2022-10-16,33.227
2022-10-17,20.838
2022-10-18,8.247000000000002
2022-10-19,11.141000000000002
2022-10-20,27.576999999999998
2022-10-21,28.999999999999996
2022-10-22,15.359000000000002
2022-10-23,9.121
2022-10-24,12.473
2022-10-25,12.24
2022-10-26,15.138
2022-10-27,19.752000000000002
2022-10-28,21.779000000000003
2022-10-29,26.040999999999997
2022-10-30,32.621
2022-10-31,29.121000000000002
2022-11-01,18.615
2022-11-02,38.468
2022-11-03,45.865
2022-11-04,43.101
2022-11-05,36.387
2022-11-06,30.275
2022-11-07,26.909000000000002
2022-11-08,32.953
2022-11-09,33.575
2022-11-10,32.139
2022-11-11,31.053
2022-11-12,35.062000000000005
2022-11-13,38.961000000000006
2022-11-14,34.127
2022-11-15,36.818000000000005
2022-11-16,28.682
2022-11-17,28.611
2022-11-18,34.351
2022-11-19,25.761
2022-11-20,30.674000000000003
2022-11-21,34.659
2022-11-22,41.542
2022-11-23,43.613
2022-11-24,49.171
2022-11-25,52.069
2022-11-26,51.229
2022-11-27,64.04700000000001
2022-11-28,83.247
2022-11-29,111.02100000000002
2022-11-30,115.542
2022-12-01,119.123
2022-12-02,113.61200000000001
2022-12-03,111.249
2022-12-04,116.03
2022-12-05,115.245
2022-12-06,116.55900000000001
2022-12-07,126.60199999999999
2022-12-08,126.001
2022-12-09,125.93299999999999
2022-12-10,121.608
2022-12-11,130.774
2022-12-12,123.475
2022-12-13,121.119
2022-12-14,118.513
2022-12-15,115.544
2022-12-16,99.82400000000001
2022-12-17,96.295
2022-12-18,91.86800000000001
2022-12-19,83.93100000000001
2022-12-20,75.91199999999999
2022-12-21,75.528
2022-12-22,70.44200000000001
2022-12-23,61.07000000000001
2022-12-24,60.332
2022-12-25,57.054
2022-12-26,62.62100000000001
2022-12-27,64.625
2022-12-28,58.36900000000001
2022-12-29,57.103
2022-12-30,58.35200000000001
2022-12-31,59.092999999999996
2023-01-01,57.763999999999996
2023-01-02,59.977999999999994
2023-01-03,56.898
2023-01-04,50.74600000000001
2023-01-05,50.83700000000001
2023-01-06,51.781
2023-01-07,56.533
2023-01-08,58.583
2023-01-09,58.12800000000001
2023-01-10,56.208
2023-01-11,54.858000000000004
2023-01-12,56.646
